time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523319107583,2018-04-10T00:11:47.582999Z,1011.9762843070978,-72,324,956,2989,20,1012.04,29.02,C2:9A:9F:E5:58:27
1523319112603,2018-04-10T00:11:52.602999Z,1015.0862032359616,-80,320,960,3007,20,1012.08,29.01,C2:9A:9F:E5:58:27
1523319117603,2018-04-10T00:11:57.602999Z,1020.4548005668845,-84,324,964,3007,20,1012.05,29.01,C2:9A:9F:E5:58:27
1523319122590,2018-04-10T00:12:02.589999Z,1016.0472429961119,-76,324,960,2995,20,1012.07,29.02,C2:9A:9F:E5:58:27
1523319128583,2018-04-10T00:12:08.582999Z,1011.3041085647778,-80,320,956,3013,20,1012.07,29.02,C2:9A:9F:E5:58:27
1523319133693,2018-04-10T00:12:13.693000Z,1008.8012688334605,-80,324,952,3001,20,1012.02,29.02,C2:9A:9F:E5:58:27
1523319138743,2018-04-10T00:12:18.743000Z,1021.7318630638863,-84,328,964,3001,20,1012.07,29.02,C2:9A:9F:E5:58:27
1523319144281,2018-04-10T00:12:24.280999Z,1020.8153603860004,-72,328,964,3007,20,1012.11,29.01,C2:9A:9F:E5:58:27
1523319150353,2018-04-10T00:12:30.352999Z,1022.3502335305647,-76,320,968,3001,20,1012.02,29.02,C2:9A:9F:E5:58:27
1523319155573,2018-04-10T00:12:35.572999Z,1012.576910659136,-80,324,956,3013,20,1012.07,29.02,C2:9A:9F:E5:58:27
1523319160593,2018-04-10T00:12:40.592999Z,1012.2687390214122,-76,324,956,3001,20,1012.09,29.01,C2:9A:9F:E5:58:27
1523319166023,2018-04-10T00:12:46.023000Z,1010.0455435276174,-80,316,956,3001,20,1012.07,29.02,C2:9A:9F:E5:58:27
1523319171573,2018-04-10T00:12:51.572999Z,1017.9587417965425,-84,328,960,3001,20,1012.05,29.01,C2:9A:9F:E5:58:27
1523319176649,2018-04-10T00:12:56.648999Z,1012.576910659136,-80,324,956,3001,20,1011.99,29.02,C2:9A:9F:E5:58:27
1523319181673,2018-04-10T00:13:01.673000Z,1020.1333246198753,-80,324,964,3007,20,1012.04,29.02,C2:9A:9F:E5:58:27
1523319187229,2018-04-10T00:13:07.229000Z,1009.4434109943954,-72,316,956,3001,20,1012.02,29.02,C2:9A:9F:E5:58:27
1523319192603,2018-04-10T00:13:12.602999Z,1019.8274363832344,-76,324,964,3013,20,1012.06,29.01,C2:9A:9F:E5:58:27
1523319197843,2018-04-10T00:13:17.842999Z,1014.5659170305298,-72,332,956,3007,20,1012.14,29.01,C2:9A:9F:E5:58:27
1523319203403,2018-04-10T00:13:23.403000Z,1017.6364773336302,-80,328,960,3001,20,1012.15,29,C2:9A:9F:E5:58:27
1523319208593,2018-04-10T00:13:28.592999Z,1020.4548005668845,-84,324,964,3007,20,1012.03,29.01,C2:9A:9F:E5:58:27
1523319213583,2018-04-10T00:13:33.582999Z,1020.1333246198753,-80,324,964,3013,20,1012.05,29,C2:9A:9F:E5:58:27
1523319218578,2018-04-10T00:13:38.578000Z,1021.4107890559998,-80,316,968,3001,20,1012.16,29.01,C2:9A:9F:E5:58:27
1523319223626,2018-04-10T00:13:43.625999Z,1014.1558065701739,-84,316,960,3001,20,1012.09,29,C2:9A:9F:E5:58:27
1523319228703,2018-04-10T00:13:48.703000Z,1016.6769398388064,-84,324,960,3001,20,1012.08,29.01,C2:9A:9F:E5:58:27
1523319234259,2018-04-10T00:13:54.259000Z,1022.7023027254803,-80,332,964,3007,20,1011.99,29,C2:9A:9F:E5:58:27
